                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.98389,                 1.9567,                0.82098,                 1.0046,                 0.8541,                0.80972,                0.86012,                0.73914,                0.84132,                 0.7984,                0.83131,                0.64083,                 0.7918,                 1.0219,                0.64548,                0.91167,              9.815e-05,              9.815e-05,              9.815e-05
                     77,                      1,                 1.9694,                0.85965,                 1.0219,                0.86111,                0.82582,                0.87789,                0.74428,                0.87116,                  0.794,                0.84921,                0.64067,                0.79206,                 1.0257,                0.63466,                 0.9056,             9.7923e-05,             9.7923e-05,             9.7923e-05
                     78,                0.99428,                 1.9759,                 0.8358,                 1.0058,                0.83773,                0.83519,                0.87559,                0.74552,                0.82857,                0.82601,                0.85768,                0.65418,                0.78247,                 1.0061,                0.62713,                 0.9063,             9.7695e-05,             9.7695e-05,             9.7695e-05
                     79,                0.97236,                  1.942,                 0.8207,                0.99625,                0.89224,                0.79436,                0.87385,                0.75014,                0.88124,                0.78519,                 0.8553,                0.65732,                0.76935,                 1.0192,                0.64687,                0.90474,             9.7467e-05,             9.7467e-05,             9.7467e-05
                     80,                  1.032,                 1.9559,                0.87131,                 1.1034,                 0.9114,                0.81502,                0.87818,                0.75205,                 0.8857,                0.79449,                0.85486,                0.65369,                0.78302,                 1.0264,                0.62792,                0.91107,             9.7239e-05,             9.7239e-05,             9.7239e-05
                     81,                0.98689,                  1.997,                0.86119,                 1.0037,                0.88706,                0.82252,                0.86166,                0.74481,                0.92921,                0.77474,                0.84102,                0.65163,                0.78285,                 1.0309,                0.64143,                0.90903,             9.7012e-05,             9.7012e-05,             9.7012e-05
                     82,                 0.9655,                  1.926,                0.80413,                0.98967,                0.88162,                0.84132,                0.86058,                0.74681,                0.84771,                0.81772,                0.83986,                0.65445,                0.77679,                 1.0194,                0.63248,                0.90421,             9.6784e-05,             9.6784e-05,             9.6784e-05
                     83,                0.97249,                 1.9793,                0.82579,                0.99953,                0.85235,                0.82521,                 0.8661,                0.74956,                0.84418,                0.80343,                0.84962,                0.65993,                 0.7641,                 1.0136,                0.60451,                  0.905,             9.6556e-05,             9.6556e-05,             9.6556e-05
                     84,                0.97811,                 1.9828,                0.84037,                 1.0027,                 0.8832,                0.83997,                0.87736,                0.74153,                0.90741,                0.80478,                0.85674,                0.66113,                0.76921,                 1.0118,                0.62648,                0.90018,             9.6329e-05,             9.6329e-05,             9.6329e-05
                     85,                0.98067,                 1.9823,                0.85167,                 1.0162,                0.88606,                0.83474,                0.87609,                0.76099,                0.88949,                0.82167,                 0.8555,                0.65808,                0.77582,                 1.0025,                0.61998,                0.89473,             9.6101e-05,             9.6101e-05,             9.6101e-05
